Log Name,Source,Date,Event ID,Task,Level,Opcode,Keyword,User,User Name,Computer,Description
0,System,Microsoft-Windows-Kernel-General,2017-06-22T09:38:53.618,12,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,The operating system started at system time ?2017?-?06?-?22T14:38:53.493923400Z.
1,System,EventLog,2017-06-22T09:39:28.984,6009,N/A,Information,N/A,Classic,N/A,N/A,DESKTOP-OGCJR0S,Microsoft (R) Windows (R) 10.00. 15063  Multiprocessor Free.
2,System,EventLog,2017-06-22T09:39:28.984,6005,N/A,Information,N/A,Classic,N/A,N/A,DESKTOP-OGCJR0S,The Event log service was started.
3,System,Microsoft-Windows-Kernel-Boot,2017-06-22T09:38:53.618,153,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,Virtualization-based security (policies: 0) is disabled.
4,System,Microsoft-Windows-Kernel-Boot,2017-06-22T09:38:53.618,27,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,The boot type was 0x0.
5,System,Microsoft-Windows-Kernel-Boot,2017-06-22T09:38:53.618,25,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,The boot menu policy was 0x1.
6,System,Microsoft-Windows-Kernel-Boot,2017-06-22T09:38:53.618,26,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,A one-time boot sequence was used during this boot.
7,System,Microsoft-Windows-Kernel-Boot,2017-06-22T09:38:53.618,32,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,The bootmgr spent 0 ms waiting for user input.
8,System,Microsoft-Windows-Kernel-Boot,2017-06-22T09:38:53.618,30,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,The firmware reported boot metrics.
9,System,Microsoft-Windows-FilterManager,2017-06-22T09:38:54.292,6,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,"File System Filter 'FileInfo' (10.0, ?2042?-?06?-?30T09:43:32.000000000Z) has successfully loaded and registered with Filter Manager."
10,System,Microsoft-Windows-FilterManager,2017-06-22T09:38:54.293,6,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,"File System Filter 'Wof' (10.0, ?1974?-?03?-?11T17:47:45.000000000Z) has successfully loaded and registered with Filter Manager."
11,System,Microsoft-Windows-Ntfs,2017-06-22T09:38:55.153,98,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,Volume C: (\Device\HarddiskVolume3) is healthy.  No action is needed.
12,System,Microsoft-Windows-FilterManager,2017-06-22T09:38:55.193,6,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,"File System Filter 'FileCrypt' (10.0, ?2030?-?05?-?28T03:10:59.000000000Z) has successfully loaded and registered with Filter Manager."
13,System,Microsoft-Windows-FilterManager,2017-06-22T09:38:55.338,6,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,"File System Filter 'npsvctrig' (10.0, ?2097?-?07?-?25T05:18:05.000000000Z) has successfully loaded and registered with Filter Manager."
14,System,Microsoft-Windows-Kernel-Power,2017-06-22T09:38:55.387,172,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,"Connectivity state in standby: Disconnected, Reason: NIC compliance"
15,System,Microsoft-Windows-Kernel-Processor-Power,2017-06-22T09:38:55.807,55,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,Processor 0 in group 0 exposes the following power management capabilities:
